Title,Price_in_lacs,Auction-rating,img,Model,driven-in_kms,Type,Engine,Transmission_type
Daihatsu Mira  2017 L for Sale,"

                        PKR 28.2 ",,https://cache4.pakwheels.com/ad_pictures/9470/tn_daihatsu-mira-l-10-2017-94707040.webp,2017,"74,800 km",Petrol,660 cc,Automatic
Toyota Hilux  2012 D-4D Automatic for Sale,"

                        PKR 65 ",,https://cache2.pakwheels.com/ad_pictures/9229/tn_toyota-hilux-d-4d-automatic-2012-92291938.webp,2012,"142,000 km",Diesel,3000 cc,Automatic
KIA Picanto  2021 1.0 MT for Sale,"

                        PKR 26.8 ",,https://cache2.pakwheels.com/ad_pictures/9471/tn_kia-picanto-1-0-mt-2021-94718881.webp,2021,"21,000 km",Petrol,1000 cc,Manual
Daihatsu Rocky  2020 1.0 R TC for Sale,"

                        PKR 58.5 ",,https://cache3.pakwheels.com/ad_pictures/9471/tn_daihatsu-rocky-1-0-r-tc-2020-94711425.webp,2020,"20,800 km",Petrol,1000 cc,Automatic
KIA Sportage  2021 AWD for Sale,"

                        PKR 71.5 ",,https://cache2.pakwheels.com/ad_pictures/9472/tn_kia-sportage-awd-2021-94728704.webp,2021,"42,000 km",Petrol,2000 cc,Automatic
Toyota Corolla  2022 Altis 1.6 X CVT-i Special Edition for Sale,"

                        PKR 62.55 ",,https://cache2.pakwheels.com/ad_pictures/9455/tn_toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-94550871.webp,2022,"13,000 km",Petrol,1600 cc,Automatic
Honda City 5th Generation 2017 1.3 i-VTEC for Sale,"

                        PKR 32 ",,https://cache4.pakwheels.com/ad_pictures/9461/tn_honda-city-i-vtec-2-2017-94611806.webp,2017,"84,500 km",Petrol,1300 cc,Manual
Honda City 5th Generation 2014 1.3 i-VTEC for Sale,"

                        PKR 25.5 ",,https://cache2.pakwheels.com/ad_pictures/9105/tn_honda-city-i-vtec-2-2014-91056045.webp,2014,"70,000 km",Petrol,1300 cc,Manual
Mazda Flair  2021 XG for Sale,"

                        PKR 42 ",,https://cache2.pakwheels.com/ad_pictures/9434/tn_mazda-flair-xg-4-2021-94344634.webp,2021,"13,000 km",Petrol,660 cc,Automatic
Lexus CT200h  2011 F Sport for Sale,"

                        PKR 43 ",,https://cache4.pakwheels.com/ad_pictures/9474/tn_lexus-ct200h-f-sport-package-2011-94741009.webp,2011,"99,000 km",Petrol,1800 cc,Automatic
Mercedes Benz S Class  2007 S500 for Sale,"

                        PKR 1.15 ",,https://cache2.pakwheels.com/ad_pictures/9473/tn_mercedes-benz-s-class-s-500-2007-94736594.webp,2007,"90,000 km",Petrol,5500 cc,Automatic
Chery Tiggo 8 Pro  2022 1.6 DEX Plus for Sale,"

                        PKR 88 ",,https://cache3.pakwheels.com/ad_pictures/9474/tn_chery-tiggo-8-pro-2022-94743035.webp,2022,"12,300 km",Petrol,1600 cc,Automatic
Suzuki Swift  2022 GL CVT for Sale,"

                        PKR 41 ",,https://cache1.pakwheels.com/ad_pictures/8990/tn_suzuki-swift-gl-cvt-2022-89907114.webp,2022,"11,500 km",Petrol,1200 cc,Automatic
Suzuki Cultus  2012 EURO II for Sale,"

                        PKR 12 ",,https://cache4.pakwheels.com/ad_pictures/9474/tn_suzuki-cultus-vxri-euro-ii-2012-94744818.webp,2012,"88,000 km",Petrol,1000 cc,Manual
Suzuki Mehran  2016 VX Euro II for Sale,"

                        PKR 9.6 ",,https://cache1.pakwheels.com/ad_pictures/9475/tn_suzuki-mehran-vx-euro-ii-2016-94753109.webp,2016,"100,000 km",Petrol,796 cc,Manual
Proton Gen 2  2006 Persona for Sale,"

                        PKR 18.5 ",,https://cache1.pakwheels.com/ad_pictures/8908/tn_proton-gen-2-persona-2006-89085374.webp,2006,"100,000 km",Petrol,1600 cc,Manual
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,"

                        PKR 36 ",6.8/10,https://cache1.pakwheels.com/ad_pictures/9440/tn_honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2015-94405113.webp,2015,"178,302 km",Petrol,1800 cc,Automatic
Toyota Corolla  2005 2.0D Saloon for Sale,"

                        PKR 17.5 ",,https://cache2.pakwheels.com/ad_pictures/9455/tn_toyota-corolla-20d-saloon-2005-94554268.webp,2005,"150,000 km",Diesel,2000 cc,Manual
Suzuki Swift  2015 DLX 1.3 for Sale,"

                        PKR 26 ",,https://cache1.pakwheels.com/ad_pictures/9477/tn_suzuki-swift-1-3l-dlx-2015-94776704.webp,2015,"52,000 km",Petrol,1300 cc,Manual
Daihatsu Charade  1984 CX for Sale,"

                        PKR 2.4 ",,https://cache3.pakwheels.com/ad_pictures/9323/tn_daihatsu-charade-cx-2-1984-93237684.webp,1984,"100,000 km",Petrol,1000 cc,Manual
Suzuki Alto  2014 ECO-S for Sale,"

                        PKR 20.8 ",,https://cache4.pakwheels.com/ad_pictures/9477/tn_suzuki-alto-eco-s-2014-94779463.webp,2014,"90,000 km",Petrol,660 cc,Automatic
Toyota Estima  2003 X for Sale,"

                        PKR 45 ",,https://cache3.pakwheels.com/ad_pictures/9478/tn_toyota-estima-x-27-2003-94788002.webp,2003,"90,000 km",Petrol,2700 cc,Automatic
Honda City 5th Generation 2021 1.3 i-VTEC Prosmatec for Sale,"

                        PKR 46 ",,https://cache1.pakwheels.com/ad_pictures/9478/tn_honda-city-i-vtec-prosmatec-2021-94781453.webp,2021,"30,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2018 Altis Automatic 1.6 for Sale,"

                        PKR 45 ",,https://cache3.pakwheels.com/ad_pictures/9329/tn_toyota-corolla-altis-1-6-automatic-2018-93290635.webp,2018,"60,000 km",Petrol,1600 cc,Automatic
Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,"

                        PKR 32 ",,https://cache2.pakwheels.com/ad_pictures/9480/tn_toyota-corolla-gli-vvti-automatic-2015-94802987.webp,2015,"150,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,"

                        PKR 34.5 ",,https://cache2.pakwheels.com/ad_pictures/9469/tn_toyota-corolla-gli-vvti-automatic-2016-v-1-94691305.webp,2016,"62,335 km",Petrol,1300 cc,Automatic
Suzuki Khyber  1996  for Sale,"

                        PKR 3.8 ",,https://cache2.pakwheels.com/ad_pictures/9481/tn_suzuki-khyber-1996-94815923.webp,1996,"55,000 km",Petrol,1000 cc,Manual
KIA Sorento  2021 2.4 FWD for Sale,"

                        PKR 77.99 ",,https://cache3.pakwheels.com/ad_pictures/9322/tn_kia-sorento-2-4-fwd-2021-93222017.webp,2021,"33,000 km",Petrol,2400 cc,Automatic
Suzuki Alto  2010 VXR for Sale,"

                        PKR 9.55 ",9.1/10,https://cache3.pakwheels.com/ad_pictures/9479/tn_suzuki-alto-vxr-2-2010-94795838.webp,2010,"92,000 km",Petrol,1000 cc,Manual
Range Rover Vogue  2018  for Sale,"

                        PKR 6.3 ",,https://cache2.pakwheels.com/ad_pictures/9479/tn_range-rover-vogue-2018-94799403.webp,2018,"39,000 km",Hybrid,2000 cc,Automatic
Nissan Note  2019 e-Power Nismo for Sale,"

                        PKR 55 ",,https://cache3.pakwheels.com/ad_pictures/9413/tn_nissan-note-e-power-nismo-2019-94137834.webp,2019,"40,000 km",Hybrid,1198 cc,Automatic
Toyota Prado  2002 TZ 3.0D for Sale,"

                        PKR 55 ",,https://cache1.pakwheels.com/ad_pictures/9483/tn_toyota-prado-tz-3-0d-2002-94835490.webp,2002,"165,000 km",Diesel,3000 cc,Automatic
Toyota Hilux  2015 Revo G 2.8 for Sale,"

                        PKR 1.15 ",,https://cache4.pakwheels.com/ad_pictures/8925/tn_toyota-hilux-revo-g-2-8-2015-89257498.webp,2015,"112,000 km",Diesel,2800 cc,Automatic
BMW X1  2017 sDrive18i for Sale,"

                        PKR 60.75 ",,https://cache1.pakwheels.com/ad_pictures/9390/tn_bmw-x1-series-sdrive18i-2017-93909579.webp,2017,"81,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2009 XLi VVTi for Sale,"

                        PKR 21 ",,https://cache3.pakwheels.com/ad_pictures/9484/tn_toyota-corolla-xli-vvti-2009-94842734.webp,2009,"106,000 km",Petrol,1300 cc,Manual
Toyota Prado  2003 TZ G 3.4 for Sale,"

                        PKR 95 ",9.5/10,https://cache1.pakwheels.com/ad_pictures/9483/tn_toyota-prado-tz-g-3-4-2003-94831541.webp,2003,"181,000 km",Petrol,3400 cc,Automatic
Toyota Yaris  2020 ATIV X CVT 1.5 for Sale,"

                        PKR 43 ",,https://cache3.pakwheels.com/ad_pictures/9070/tn_toyota-yaris-ativ-x-cvt-1-5-2020-90700975.webp,2020,"35,000 km",Petrol,1500 cc,Automatic
Daihatsu Hijet  2018  for Sale,"

                        PKR 23.6 ",,https://cache2.pakwheels.com/ad_pictures/9484/tn_daihatsu-hijet-van-2018-v-1-94847940.webp,2018,"150,000 km",Petrol,660 cc,Automatic
Toyota Prado  2013 TX 2.7 for Sale,"

                        PKR 1.55 ",,https://cache4.pakwheels.com/ad_pictures/9486/tn_toyota-prado-tx-4-2013-94860494.webp,2013,"60,527 km",Petrol,2700 cc,Automatic
Suzuki Cultus  2010 VXRi for Sale,"

                        PKR 10.49 ",,https://cache4.pakwheels.com/ad_pictures/8634/tn_suzuki-cultus-vxri-2-2010-86341838.webp,2010,"82,000 km",Petrol,1000 cc,Manual
Ford F 150  2016 Limited Edition for Sale,"

                        PKR 1.75 ",,https://cache1.pakwheels.com/ad_pictures/9031/tn_ford-f-150-xl-limited-edition-4-2016-90312283.webp,2016,"99,000 km",Petrol,3496 cc,Automatic
Mercedes Benz C Class  2021 C180 AMG for Sale,"

                        PKR 2.55 ",,https://cache2.pakwheels.com/ad_pictures/9351/tn_mercedes-benz-c-class-c180-amg-2021-93511362.webp,2021,"13,000 km",Petrol,1800 cc,Automatic
Suzuki Alto  2008 VXR (CNG) for Sale,"

                        PKR 9.5 ",,https://cache4.pakwheels.com/ad_pictures/8764/tn_suzuki-alto-vxr-cng-2008-87649600.webp,2008,"150,000 km",Petrol,1000 cc,Manual
Nissan Dayz  2020 Highway star G for Sale,"

                        PKR 41 ",,https://cache1.pakwheels.com/ad_pictures/9486/tn_nissan-dayz-highway-star-3-2020-94861647.webp,2020,"15,000 km",Hybrid,660 cc,Automatic
Daihatsu Mira  2013 ES for Sale,"

                        PKR 19.75 ",7.5/10,https://cache3.pakwheels.com/ad_pictures/9477/tn_daihatsu-mira-es-2013-94773964.webp,2013,"68,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2023 Altis X Automatic 1.6 for Sale,"

                        PKR 67 ",7.6/10,https://cache4.pakwheels.com/ad_pictures/9489/tn_toyota-corolla-altis-x-automatic-1-6-2023-94899151.webp,2023,"2,500 km",Petrol,1598 cc,Automatic
Toyota Aqua  2018 S for Sale,"

                        PKR 55 ",,https://cache3.pakwheels.com/ad_pictures/9489/tn_toyota-aqua-s-15-2018-94894795.webp,2018,"109,000 km",Hybrid,1500 cc,Automatic
Hyundai Tucson  2021 AWD A/T Ultimate for Sale,"

                        PKR 75.5 ",,https://cache3.pakwheels.com/ad_pictures/9491/tn_hyundai-tucson-awd-a-t-ultimate-2021-94914851.webp,2021,"33,000 km",Petrol,2000 cc,Automatic
Honda Vezel  2016 Hybrid Z for Sale,"

                        PKR 55 ",,https://cache4.pakwheels.com/ad_pictures/9490/tn_honda-vezel-hybrid-z-2016-94904263.webp,2016,"47,000 km",Hybrid,1500 cc,Automatic
Toyota Prius  2012  for Sale,"

                        PKR 39 ",,https://cache1.pakwheels.com/ad_pictures/9491/tn_toyota-prius-2012-94918209.webp,2012,"92,000 km",Hybrid,1800 cc,Automatic
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,"

                        PKR 76 ",9.4/10,https://cache2.pakwheels.com/ad_pictures/9308/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2023-93085498.webp,2023,900 km,Petrol,1800 cc,Automatic
Toyota Yaris Hatchback  2020  for Sale,"

                        PKR 47 ",,https://cache1.pakwheels.com/ad_pictures/9358/tn_toyota-yaris-hatchback-2020-93585486.webp,2020,"23,500 km",Petrol,1000 cc,Automatic
Suzuki Mehran  2014 VX Euro II for Sale,"

                        PKR 7.5 ",,https://cache3.pakwheels.com/ad_pictures/9492/tn_suzuki-mehran-vx-euro-ii-2014-94922822.webp,2014,"86,000 km",Petrol,796 cc,Manual
Suzuki Cultus  2022 VXR for Sale,"

                        PKR 29.5 ",,https://cache2.pakwheels.com/ad_pictures/9493/tn_suzuki-cultus-vxr-2022-94932199.webp,2022,"13,000 km",Petrol,1000 cc,Manual
Honda Civic  2003 EXi for Sale,"

                        PKR 10.95 ",,https://cache4.pakwheels.com/ad_pictures/9493/tn_honda-civic-exi-3-2003-94931542.webp,2003,"123,456 km",Petrol,1500 cc,Manual
Toyota Corolla  2014 XLi VVTi Limited Edition for Sale,"

                        PKR 25 ",,https://cache1.pakwheels.com/ad_pictures/9331/tn_toyota-corolla-xli-limited-edition-2014-93319495.webp,2014,"157,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2019 Altis Grande 1.8 for Sale,"

                        PKR 53.5 ",,https://cache1.pakwheels.com/ad_pictures/9494/tn_toyota-corolla-altis-1-8-grande-2019-94948775.webp,2019,"42,000 km",Petrol,1800 cc,Automatic
Honda Civic  2008 VTi Prosmatec 1.8 i-VTEC for Sale,"

                        PKR 19 ",,https://cache4.pakwheels.com/ad_pictures/9492/tn_honda-civic-vti-1-8-i-vtec-prosmatec-2008-94928157.webp,2008,"102,400 km",Petrol,1800 cc,Automatic
Suzuki Swift  2015 DLX 1.3 for Sale,"

                        PKR 21 ",9.6/10,https://cache1.pakwheels.com/ad_pictures/9487/tn_suzuki-swift-1-3l-dlx-2015-94877470.webp,2015,"75,000 km",Petrol,1300 cc,Manual
Toyota Prius Alpha  2012 S for Sale,"

                        PKR 37.8 ",,https://cache1.pakwheels.com/ad_pictures/9325/tn_toyota-prius-alpha-s-26-2012-93258628.webp,2012,"108,000 km",Petrol,1800 cc,Automatic
Toyota Hilux  2022 Revo V Automatic 2.8 for Sale,"

                        PKR 1.33 ",,https://cache2.pakwheels.com/ad_pictures/9497/tn_toyota-hilux-revo-v-automatic-2-8-2022-94978404.webp,2022,"29,000 km",Diesel,2800 cc,Automatic
Toyota Mark X  2006 250G for Sale,"

                        PKR 44 ",,https://cache4.pakwheels.com/ad_pictures/9345/tn_toyota-mark-x-250g-2-2006-93450763.webp,2006,"120,000 km",Petrol,2500 cc,Automatic
Mitsubishi Ek Wagon  2013  for Sale,"

                        PKR 19.5 ",,https://cache3.pakwheels.com/ad_pictures/9493/tn_mitsubishi-ek-wagon-2013-94932397.webp,2013,"80,577 km",Petrol,660 cc,Automatic
Suzuki Alto  2007 VXR for Sale,"

                        PKR 6.4 ",,https://cache1.pakwheels.com/ad_pictures/9455/tn_suzuki-alto-vxr-2-2007-94557163.webp,2007,"105,000 km",Petrol,1000 cc,Manual
Suzuki Mehran  2012 VX for Sale,"

                        PKR 7.3 ",8.7/10,https://cache2.pakwheels.com/ad_pictures/9498/tn_suzuki-mehran-vx-2-2012-94982728.webp,2012,"45,000 km",Petrol,800 cc,Manual
Toyota Platz  2003 F 1.0 for Sale,"

                        PKR 13 ",,https://cache4.pakwheels.com/ad_pictures/9498/tn_toyota-platz-f-1-0-2003-94988805.webp,2003,"1,999 km",Petrol,1000 cc,Automatic
Honda Civic Reborn 2012 VTi 1.8 i-VTEC for Sale,"

                        PKR 26 ",,https://cache2.pakwheels.com/ad_pictures/9500/tn_honda-civic-vti-1-8-i-vtec-2012-95009143.webp,2012,"141,000 km",Petrol,1800 cc,Manual
Honda City 6th Generation 2022 1.2L CVT for Sale,"

                        PKR 46.5 ",7.4/10,https://cache4.pakwheels.com/ad_pictures/9501/tn_honda-city-1-2l-cvt-2022-95013404.webp,2022,"8,300 km",Petrol,1200 cc,Automatic
Toyota Rush  2008 G A/T for Sale,"

                        PKR 24.5 ",,https://cache1.pakwheels.com/ad_pictures/9499/tn_toyota-rush-g-32-2008-94999515.webp,2008,"150,000 km",Petrol,1500 cc,Automatic
Toyota Corolla Indus 1998 XE-G for Sale,"

                        PKR 12 ",,https://cache3.pakwheels.com/ad_pictures/9499/tn_toyota-corolla-xe-g-1998-94995430.webp,1998,"150,000 km",Petrol,1300 cc,Manual
KIA Sportage  2021 AWD for Sale,"

                        PKR 71 ",,https://cache2.pakwheels.com/ad_pictures/9501/tn_kia-sportage-awd-2021-95017673.webp,2021,"43,000 km",Petrol,2000 cc,Automatic
Suzuki Mehran  2012 VX (CNG) for Sale,"

                        PKR 7.45 ",,https://cache1.pakwheels.com/ad_pictures/9502/tn_suzuki-mehran-vx-cng-2-2012-95023067.webp,2012,"72,000 km",Petrol,800 cc,Manual
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,"

                        PKR 24.8 ",,https://cache2.pakwheels.com/ad_pictures/9486/tn_toyota-corolla-gli-vvti-2011-94867786.webp,2011,"100,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2021 Altis X Manual 1.6 for Sale,"

                        PKR 46.95 ",,https://cache4.pakwheels.com/ad_pictures/9502/tn_toyota-corolla-altis-x-manual-1-6-2021-95026672.webp,2021,"62,500 km",Petrol,1600 cc,Automatic
Toyota Corolla  2018 Altis Automatic 1.6 for Sale,"

                        PKR 46.5 ",,https://cache2.pakwheels.com/ad_pictures/8752/tn_toyota-corolla-altis-1-6-automatic-2018-87521681.webp,2018,"70,873 km",Petrol,1600 cc,Automatic
Suzuki Cultus  2016 Limited Edition for Sale,"

                        PKR 16 ",,https://cache3.pakwheels.com/ad_pictures/9500/tn_suzuki-cultus-limited-edition-2-2016-95005951.webp,2016,"108,000 km",Petrol,1000 cc,Manual
Honda City 5th Generation 2013 Aspire 1.3 i-VTEC for Sale,"

                        PKR 25.8 ",,https://cache1.pakwheels.com/ad_pictures/9504/tn_honda-city-aspire-1-3-i-vtec-2013-95044946.webp,2013,"80,000 km",Petrol,1300 cc,Manual
Nissan Clipper  2012 DX for Sale,"

                        PKR 13.5 ",,https://cache2.pakwheels.com/ad_pictures/9504/tn_nissan-clipper-dx-8-2012-95049241.webp,2012,"89,000 km",Petrol,660 cc,Automatic
Toyota Vitz  2002 F 1.0 for Sale,"

                        PKR 14.2 ",,https://cache3.pakwheels.com/ad_pictures/9503/tn_toyota-vitz-1-0-f-2002-95034072.webp,2002,130 km,Petrol,1000 cc,Automatic
Suzuki Swift  2023 GL CVT for Sale,"

                        PKR 43.75 ",,https://cache1.pakwheels.com/ad_pictures/9505/tn_suzuki-swift-gl-cvt-2023-95053188.webp,2023,"2,500 km",Petrol,1240 cc,Automatic
Seres 3  2024  for Sale,"

                        PKR 1.18 ",,https://cache3.pakwheels.com/ad_pictures/9506/tn_seres-3-2-2024-95069537.webp,2024,1 km,Electric,64.0 kWh,Automatic
Toyota Corolla  2019 Altis Grande CVT-i 1.8 for Sale,"

                        PKR 54.5 ",,https://cache1.pakwheels.com/ad_pictures/9175/tn_toyota-corolla-altis-1-8-grande-automatic-2020-91759627.webp,2019,"36,000 km",Petrol,1800 cc,Automatic
Toyota Prius  2012 G Touring Selection Leather Package 1.8 for Sale,"

                        PKR 40 ",,https://cache4.pakwheels.com/ad_pictures/9507/tn_toyota-prius-g-touring-selection-leather-package-1-8-2012-95074718.webp,2012,"121,000 km",Hybrid,1800 cc,Automatic
Suzuki Wagon R  2015 FA for Sale,"

                        PKR 18 ",8.7/10,https://cache3.pakwheels.com/ad_pictures/9505/tn_suzuki-wagon-r-fa-2015-95058630.webp,2015,"100,000 km",Petrol,660 cc,Automatic
MG HS  2021 Trophy for Sale,"

                        PKR 70 ",,https://cache3.pakwheels.com/ad_pictures/9507/tn_mg-hs-2-trophy-2021-95079120.webp,2021,"22,000 km",Petrol,1500 cc,Automatic
Suzuki Alto  2011 VXR (CNG) for Sale,"

                        PKR 8.7 ",,https://cache4.pakwheels.com/ad_pictures/9508/tn_suzuki-alto-vxr-cng-2011-95089888.webp,2011,"75,699 km",Petrol,1000 cc,Manual
Toyota Aqua  2018 S for Sale,"

                        PKR 55 ",10/10,https://cache1.pakwheels.com/ad_pictures/9508/tn_toyota-aqua-s-15-2018-95084730.webp,2018,"179,000 km",Hybrid,1500 cc,Automatic
Mercedes Benz C Class  2004  for Sale,"

                        PKR 30 ",10/10,https://cache2.pakwheels.com/ad_pictures/9080/tn_mercedes-benz-c-class-2004-90804441.webp,2004,"50,071 km",Petrol,1800 cc,Automatic
Daihatsu Hijet  2013  for Sale,"

                        PKR 16 ",,https://cache4.pakwheels.com/ad_pictures/9510/tn_daihatsu-hijet-van-2013-95101312.webp,2013,"140,000 km",Petrol,660 cc,Automatic
Daihatsu Terios Kid  2007 L for Sale,"

                        PKR 17.9 ",9.9/10,https://cache1.pakwheels.com/ad_pictures/9505/tn_daihatsu-terios-kid-2013-95053303.webp,2007,"108,000 km",Petrol,660 cc,Automatic
Suzuki Alto  2015  for Sale,"

                        PKR 22 ",,https://cache4.pakwheels.com/ad_pictures/9510/tn_suzuki-alto-2015-95102817.webp,2015,"80,000 km",Petrol,660 cc,Automatic
Toyota Corolla  2016 Altis 1.8 for Sale,"

                        PKR 36 ",,https://cache4.pakwheels.com/ad_pictures/9509/tn_toyota-vitz-1-0-f-2017-95092650.webp,2016,"80,000 km",Petrol,1800 cc,Manual
